"CTYSOSID","PRECINCT_I","PRECINCT_N","CTYNAME","CTYNUMBER","CTY_PREC","reg_voters","trump_eday","trump_adv","trump_abs","trump_prov","trump_all","biden_eday","biden_adv","biden_abs","biden_prov","biden_all","jorgensen_eday","jorgensen_adv","jorgensen_abs","jorgensen_prov","jorgensen_all","perdue_eday","perdue_adv","perdue_abs","perdue_prov","perdue_all","ossoff_eday","ossoff_adv","ossoff_abs","ossoff_prov","ossoff_all","hazel_eday","hazel_adv","hazel_abs","hazel_prov","hazel_all","bartell_eday","bartell_adv","bartell_abs","bartell_prov","bartell_all","buckley_eday","buckley_adv","buckley_abs","buckley_prov","buckley_all","collins_eday","collins_adv","collins_abs","collins_prov","collins_all","fortuin_eday","fortuin_adv","fortuin_abs","fortuin_prov","fortuin_all","grayson_eday","grayson_adv","grayson_abs","grayson_prov","grayson_all","todd_greene_eday","todd_greene_adv","todd_greene_abs","todd_greene_prov","todd_greene_all","davis_jackson_eday","davis_jackson_adv","davis_jackson_abs","davis_jackson_prov","davis_jackson_all","deborah_jackson_eday","deborah_jackson_adv","deborah_jackson_abs","deborah_jackson_prov","deborah_jackson_all","james_eday","james_adv","james_abs","james_prov","james_all","wayne_johnson_eday","wayne_johnson_adv","wayne_johnson_abs","wayne_johnson_prov","wayne_johnson_all","johnson_shealey_eday","johnson_shealey_adv","johnson_shealey_abs","johnson_shealey_prov","johnson_shealey_all","lieberman_eday","lieberman_adv","lieberman_abs","lieberman_prov","lieberman_all","loeffler_eday","loeffler_adv","loeffler_abs","loeffler_prov","loeffler_all","slade_eday","slade_adv","slade_abs","slade_prov","slade_all","slowinski_eday","slowinski_adv","slowinski_abs","slowinski_prov","slowinski_all","stovall_eday","stovall_adv","stovall_abs","stovall_prov","stovall_all","tarver_eday","tarver_adv","tarver_abs","tarver_prov","tarver_all","taylor_eday","taylor_adv","taylor_abs","taylor_prov","taylor_all","warnock_eday","warnock_adv","warnock_abs","warnock_prov","warnock_all","winfield_eday","winfield_adv","winfield_abs","winfield_prov","winfield_all","pres_all","sen_normal_all","sen_special_all","pres_turnout_pct","sen_normal_turnout_pct","sen_special_turnout_pct","trump_all_pct","biden_all_pct","jorgensen_all_pct","perdue_all_pct","ossoff_all_pct","hazel_all_pct","bartell_all_pct","buckley_all_pct","collins_all_pct","fortuin_all_pct","grayson_all_pct","todd_greene_all_pct","davis_jackson_all_pct","deborah_jackson_all_pct","james_all_pct","wayne_johnson_all_pct","johnson_shealey_all_pct","lieberman_all_pct","loeffler_all_pct","slade_all_pct","slowinski_all_pct","stovall_all_pct","tarver_all_pct","taylor_all_pct","warnock_all_pct","winfield_all_pct","trump_eday_pct","trump_adv_pct","trump_abs_pct","trump_prov_pct","biden_eday_pct","biden_adv_pct","biden_abs_pct","biden_prov_pct","jorgensen_eday_pct","jorgensen_adv_pct","jorgensen_abs_pct","jorgensen_prov_pct","perdue_eday_pct","perdue_adv_pct","perdue_abs_pct","perdue_prov_pct","ossoff_eday_pct","ossoff_adv_pct","ossoff_abs_pct","ossoff_prov_pct","hazel_eday_pct","hazel_adv_pct","hazel_abs_pct","hazel_prov_pct","bartell_eday_pct","bartell_adv_pct","bartell_abs_pct","bartell_prov_pct","buckley_eday_pct","buckley_adv_pct","buckley_abs_pct","buckley_prov_pct","collins_eday_pct","collins_adv_pct","collins_abs_pct","collins_prov_pct","fortuin_eday_pct","fortuin_adv_pct","fortuin_abs_pct","fortuin_prov_pct","grayson_eday_pct","grayson_adv_pct","grayson_abs_pct","grayson_prov_pct","todd_greene_eday_pct","todd_greene_adv_pct","todd_greene_abs_pct","todd_greene_prov_pct","davis_jackson_eday_pct","davis_jackson_adv_pct","davis_jackson_abs_pct","davis_jackson_prov_pct","deborah_jackson_eday_pct","deborah_jackson_adv_pct","deborah_jackson_abs_pct","deborah_jackson_prov_pct","james_eday_pct","james_adv_pct","james_abs_pct","james_prov_pct","wayne_johnson_eday_pct","wayne_johnson_adv_pct","wayne_johnson_abs_pct","wayne_johnson_prov_pct","johnson_shealey_eday_pct","johnson_shealey_adv_pct","johnson_shealey_abs_pct","johnson_shealey_prov_pct","lieberman_eday_pct","lieberman_adv_pct","lieberman_abs_pct","lieberman_prov_pct","loeffler_eday_pct","loeffler_adv_pct","loeffler_abs_pct","loeffler_prov_pct","slade_eday_pct","slade_adv_pct","slade_abs_pct","slade_prov_pct","slowinski_eday_pct","slowinski_adv_pct","slowinski_abs_pct","slowinski_prov_pct","stovall_eday_pct","stovall_adv_pct","stovall_abs_pct","stovall_prov_pct","tarver_eday_pct","tarver_adv_pct","tarver_abs_pct","tarver_prov_pct","taylor_eday_pct","taylor_adv_pct","taylor_abs_pct","taylor_prov_pct","warnock_eday_pct","warnock_adv_pct","warnock_abs_pct","warnock_prov_pct","winfield_eday_pct","winfield_adv_pct","winfield_abs_pct","winfield_prov_pct","male_frac","female_frac","age_tp_med","age_male_tp_med","age_female_tp_med","age_tp_mean","age_vp_mean","age_male_tp_mean","age_female_tp_mean","age_male_vp_mean","age_female_vp_mean","white_frac","nonwhite_frac","black_frac","amind_frac","asian_frac","hisp_frac","nonwhitehisp_frac","travel_time","educ_yrs","inc2pov_ratio","medhhinc","empl_frac","unempl_frac","owner_frac","renter_frac","rent_med","nohlthins_frac"
"215122","122","FIRST AFRICAN","MUSCOGEE","106","MUSCOGEE_00122",1955,54,123,60,1,238,102,299,263,4,668,4,6,9,1,20,53,133,65,2,253,97,284,248,3,632,10,12,7,1,30,1,5,3,0,9,1,1,3,0,5,13,41,24,0,78,1,0,2,0,3,1,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,9,1,24,0,0,0,0,0,0,0,0,0,0,5,17,8,0,30,32,71,44,2,149,3,9,0,0,12,4,7,3,0,14,0,1,0,0,1,1,4,6,0,11,2,2,0,0,4,64,195,177,1,437,4,1,2,0,7,926,915,789,47.366,46.803,40.358,25.702,72.138,2.16,27.65,69.071,3.279,1.141,0.634,9.886,0.38,0.634,0,0,0,3.042,0,0,3.802,18.885,1.521,1.774,0.127,1.394,0.507,55.387,0.887,22.689,51.681,25.21,0.42,15.269,44.76,39.371,0.599,20,30,45,5,20.949,52.569,25.692,0.791,15.348,44.937,39.241,0.475,33.333,40,23.333,3.333,11.111,55.556,33.333,0,20,20,60,0,16.667,52.564,30.769,0,33.333,0,66.667,0,20,40,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.333,50,37.5,4.167,NA,NA,NA,NA,NA,NA,NA,NA,16.667,56.667,26.667,0,21.477,47.651,29.53,1.342,25,75,0,0,28.571,50,21.429,0,0,100,0,0,9.091,36.364,54.545,0,50,50,0,0,14.645,44.622,40.503,0.229,57.143,14.286,28.571,0,0.501,0.499,32.068,33.149,34.471,36.103,42.69,35.927,36.421,40.456,45.085,0.3,0.7,0.661,0.001,0.004,0.031,0.018,19.562,13.188,1.115,21388.212,0.38,0.087,0.107,0.893,596.946,0.219
"215108","108","ST MARK/HEIFERHORN","MUSCOGEE","106","MUSCOGEE_00108",6492,567,2078,593,5,3243,155,805,710,6,1676,20,22,19,0,61,570,2095,616,5,3286,158,770,647,6,1581,18,35,29,0,82,4,5,3,0,12,2,5,9,0,16,228,859,270,0,1357,2,7,9,0,18,16,32,8,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,14,0,47,0,0,0,0,0,0,0,0,0,0,15,74,56,0,145,279,1124,334,4,1741,9,25,4,0,38,10,14,9,0,33,2,11,3,0,16,1,6,13,0,20,9,16,3,0,28,88,502,468,2,1060,5,7,7,0,19,4980,4949,4607,76.71,76.232,70.964,65.12,33.655,1.225,66.397,31.946,1.657,0.26,0.347,29.455,0.391,1.237,0,0,0,1.02,0,0,3.147,37.79,0.825,0.716,0.347,0.434,0.608,23.008,0.412,17.484,64.076,18.286,0.154,9.248,48.031,42.363,0.358,32.787,36.066,31.148,0,17.346,63.755,18.746,0.152,9.994,48.703,40.923,0.38,21.951,42.683,35.366,0,33.333,41.667,25,0,12.5,31.25,56.25,0,16.802,63.301,19.897,0,11.111,38.889,50,0,28.07,56.14,14.035,1.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.894,55.319,29.787,0,NA,NA,NA,NA,NA,NA,NA,NA,10.345,51.034,38.621,0,16.025,64.561,19.184,0.23,23.684,65.789,10.526,0,30.303,42.424,27.273,0,12.5,68.75,18.75,0,5,30,65,0,32.143,57.143,10.714,0,8.302,47.358,44.151,0.189,26.316,36.842,36.842,0,0.45,0.55,40.046,41.566,39.169,37.776,48.804,38.745,37.227,49.342,48.383,0.771,0.229,0.07,0,0.126,0.046,0.022,21.869,15.505,1.921,113582.912,0.579,0.05,0.896,0.104,1394.941,0.058
"057031","031","R T JONES","CHEROKEE","028","CHEROKEE_00031",2525,180,666,174,1,1021,95,249,169,0,513,12,9,7,0,28,181,661,175,1,1018,91,243,158,0,492,14,20,12,0,46,0,1,1,0,2,5,4,0,0,9,59,268,67,0,394,4,3,3,0,10,6,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,0,19,0,0,0,0,0,0,0,0,0,0,9,25,5,0,39,86,336,102,0,524,3,8,4,0,15,8,6,1,0,15,1,0,1,0,2,0,1,0,0,1,3,9,1,0,13,50,150,114,0,314,1,4,1,0,6,1562,1556,1377,61.861,61.624,54.535,65.365,32.843,1.793,65.424,31.62,2.956,0.145,0.654,28.613,0.726,1.017,0,0,0,1.38,0,0,2.832,38.054,1.089,1.089,0.145,0.073,0.944,22.803,0.436,17.63,65.23,17.042,0.098,18.519,48.538,32.943,0,42.857,32.143,25,0,17.78,64.931,17.191,0.098,18.496,49.39,32.114,0,30.435,43.478,26.087,0,0,50,50,0,55.556,44.444,0,0,14.975,68.02,17.005,0,40,30,30,0,42.857,57.143,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.632,26.316,21.053,0,NA,NA,NA,NA,NA,NA,NA,NA,23.077,64.103,12.821,0,16.412,64.122,19.466,0,20,53.333,26.667,0,53.333,40,6.667,0,50,0,50,0,0,100,0,0,23.077,69.231,7.692,0,15.924,47.771,36.306,0,16.667,66.667,16.667,0,0.494,0.506,37.825,37.975,38.171,36.781,47.892,36.807,36.798,47.588,48.362,0.837,0.163,0.07,0.002,0.008,0.236,0.092,35.55,13.781,1.691,64791.962,0.617,0.031,0.736,0.264,979.906,0.175
"057033","033","SALACOA","CHEROKEE","028","CHEROKEE_00033",727,273,121,60,0,454,22,16,31,0,69,3,1,1,0,5,264,118,57,0,439,24,15,26,0,65,7,4,3,0,14,2,0,0,0,2,0,1,0,0,1,89,44,19,0,152,2,0,0,0,2,7,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,5,161,68,36,0,265,1,0,0,0,1,2,0,2,0,4,0,1,0,0,1,0,0,0,0,0,2,1,0,0,3,15,9,23,0,47,0,0,0,0,0,528,518,491,72.627,71.252,67.538,85.985,13.068,0.947,84.749,12.548,2.703,0.407,0.204,30.957,0.407,1.629,0,0,0,0,0,0,1.018,53.971,0.204,0.815,0.204,0,0.611,9.572,0,60.132,26.652,13.216,0,31.884,23.188,44.928,0,60,20,20,0,60.137,26.879,12.984,0,36.923,23.077,40,0,50,28.571,21.429,0,100,0,0,0,0,100,0,0,58.553,28.947,12.5,0,100,0,0,0,87.5,0,12.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,20,40,0,60.755,25.66,13.585,0,100,0,0,0,50,0,50,0,0,100,0,0,NA,NA,NA,NA,66.667,33.333,0,0,31.915,19.149,48.936,0,NA,NA,NA,NA,0.502,0.498,25.6,22.3,26.7,32.751,39,29.101,36.436,39.482,38.637,0.642,0.358,0.11,0.007,0.004,0.113,0.104,33.086,13.375,1.512,59803,0.454,0.052,0.89,0.11,NA,0.218
"01506","06","CENTER","BARTOW","008","BARTOW_00006",4007,680,1235,395,2,2312,103,247,218,0,568,20,21,7,0,48,662,1238,380,2,2282,107,237,212,0,556,34,31,15,0,80,2,2,0,0,4,3,6,3,0,12,235,446,137,0,818,7,4,2,0,13,11,22,3,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,5,0,19,0,0,0,0,0,0,0,0,0,0,13,16,19,0,48,381,697,244,1,1323,7,2,2,0,11,13,9,2,0,24,6,4,0,0,10,0,0,2,0,2,11,19,2,0,32,69,151,154,0,374,1,5,0,0,6,2928,2918,2733,73.072,72.823,68.206,78.962,19.399,1.639,78.204,19.054,2.742,0.146,0.439,29.93,0.476,1.354,0,0,0,0.695,0,0,1.756,48.408,0.402,0.878,0.366,0.073,1.171,13.685,0.22,29.412,53.417,17.085,0.087,18.134,43.486,38.38,0,41.667,43.75,14.583,0,29.01,54.251,16.652,0.088,19.245,42.626,38.129,0,42.5,38.75,18.75,0,50,50,0,0,25,50,25,0,28.729,54.523,16.748,0,53.846,30.769,15.385,0,29.73,59.459,8.108,2.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.053,52.632,26.316,0,NA,NA,NA,NA,NA,NA,NA,NA,27.083,33.333,39.583,0,28.798,52.683,18.443,0.076,63.636,18.182,18.182,0,54.167,37.5,8.333,0,60,40,0,0,0,0,100,0,34.375,59.375,6.25,0,18.449,40.374,41.176,0,16.667,83.333,0,0,0.434,0.566,38.866,40.803,34.223,37.784,49.319,40.234,36.128,49.584,49.212,0.964,0.036,0.023,0,0,0.035,0.001,34.422,14.692,1.779,61714.474,0.597,0.057,0.757,0.243,1443.337,0.118
"057039","039","UNIVETER","CHEROKEE","028","CHEROKEE_00039",5434,565,2010,592,0,3167,108,436,319,0,863,16,28,14,0,58,549,2011,581,0,3141,101,418,292,0,811,32,46,26,0,104,3,3,1,0,7,2,7,5,0,14,179,728,237,0,1144,5,5,1,0,11,14,27,8,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,5,0,18,0,0,0,0,0,0,0,0,0,0,13,35,17,0,65,308,1136,332,0,1776,6,14,2,0,22,12,22,7,0,41,2,5,2,0,9,3,3,4,0,10,8,19,3,0,30,62,279,230,0,571,1,5,4,0,10,4088,4056,3777,75.23,74.641,69.507,77.471,21.111,1.419,77.441,19.995,2.564,0.185,0.371,30.289,0.291,1.297,0,0,0,0.477,0,0,1.721,47.021,0.582,1.086,0.238,0.265,0.794,15.118,0.265,17.84,63.467,18.693,0,12.514,50.521,36.964,0,27.586,48.276,24.138,0,17.479,64.024,18.497,0,12.454,51.541,36.005,0,30.769,44.231,25,0,42.857,42.857,14.286,0,14.286,50,35.714,0,15.647,63.636,20.717,0,45.455,45.455,9.091,0,28.571,55.102,16.327,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.556,66.667,27.778,0,NA,NA,NA,NA,NA,NA,NA,NA,20,53.846,26.154,0,17.342,63.964,18.694,0,27.273,63.636,9.091,0,29.268,53.659,17.073,0,22.222,55.556,22.222,0,30,30,40,0,26.667,63.333,10,0,10.858,48.862,40.28,0,10,50,40,0,0.489,0.511,37.253,36.962,37.777,37.51,46.897,37.301,37.729,46.399,47.418,0.911,0.089,0.063,0.001,0.007,0.136,0.016,32.325,14.362,1.8,69911.854,0.595,0.045,0.754,0.246,1031.323,0.123
"2274","4","JERUSALEM","PICKENS","112","PICKENS_00004",1145,503,197,55,0,755,36,24,41,0,101,2,0,1,0,3,488,195,53,0,736,38,23,38,0,99,8,3,3,0,14,1,0,0,0,1,0,0,0,0,0,213,86,24,0,323,1,0,0,0,1,11,5,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,5,5,2,0,12,241,91,30,0,362,1,0,0,0,1,2,1,1,0,4,1,0,1,0,2,1,2,0,0,3,7,3,0,0,10,27,15,28,0,70,0,0,1,0,1,859,849,810,75.022,74.148,70.742,87.893,11.758,0.349,86.69,11.661,1.649,0.123,0,39.877,0.123,2.222,0,0,0,0.247,0,0,1.481,44.691,0.123,0.494,0.247,0.37,1.235,8.642,0.123,66.623,26.093,7.285,0,35.644,23.762,40.594,0,66.667,0,33.333,0,66.304,26.495,7.201,0,38.384,23.232,38.384,0,57.143,21.429,21.429,0,100,0,0,0,NA,NA,NA,NA,65.944,26.625,7.43,0,100,0,0,0,61.111,27.778,11.111,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,41.667,41.667,16.667,0,66.575,25.138,8.287,0,100,0,0,0,50,25,25,0,50,0,50,0,33.333,66.667,0,0,70,30,0,0,38.571,21.429,40,0,0,0,100,0,0.525,0.475,35.001,35.101,34.801,36.628,48.795,35.324,38.07,48.852,48.736,0.829,0.171,0,0.063,0,0,0,40.079,13,1.801,53883.914,0.561,0.063,0.731,0.269,917.009,0.11
"01515","15","WHITE","BARTOW","008","BARTOW_00015",2723,660,752,235,1,1648,71,105,99,0,275,14,11,7,0,32,643,752,229,1,1625,73,100,98,0,271,23,12,8,0,43,1,1,0,0,2,1,1,1,0,3,192,283,93,0,568,4,4,0,0,8,20,12,5,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,6,0,0,0,0,0,0,0,0,0,0,4,8,6,0,18,391,417,131,0,939,3,3,5,0,11,7,6,3,0,16,0,0,1,0,1,2,2,0,0,4,10,12,6,0,28,53,66,70,0,189,3,1,1,0,5,1955,1939,1836,71.796,71.208,67.426,84.297,14.066,1.637,83.806,13.976,2.218,0.109,0.163,30.937,0.436,2.07,0,0,0,0.327,0,0,0.98,51.144,0.599,0.871,0.054,0.218,1.525,10.294,0.272,40.049,45.631,14.26,0.061,25.818,38.182,36,0,43.75,34.375,21.875,0,39.569,46.277,14.092,0.062,26.937,36.9,36.162,0,53.488,27.907,18.605,0,50,50,0,0,33.333,33.333,33.333,0,33.803,49.824,16.373,0,50,50,0,0,52.632,31.579,13.158,2.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.333,50,16.667,0,NA,NA,NA,NA,NA,NA,NA,NA,22.222,44.444,33.333,0,41.64,44.409,13.951,0,27.273,27.273,45.455,0,43.75,37.5,18.75,0,0,0,100,0,50,50,0,0,35.714,42.857,21.429,0,28.042,34.921,37.037,0,60,20,20,0,0.519,0.481,41.19,40.972,41.344,39.489,47.809,39.77,39.236,46.382,49.564,0.958,0.042,0.013,0,0.001,0.043,0.008,30.117,13.537,1.778,67121.565,0.612,0.052,0.808,0.192,858.844,0.123
"1291056","1056","SONORAVILLE","GORDON","064","GORDON_01056",5380,1145,1711,388,2,3246,125,207,165,0,497,19,12,7,0,38,1118,1691,375,2,3186,129,204,146,0,479,39,29,14,0,82,1,1,1,0,3,4,4,9,0,17,386,674,152,0,1212,3,5,0,0,8,35,35,2,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,2,0,19,0,0,0,0,0,0,0,0,0,0,18,25,15,0,58,579,851,218,0,1648,6,8,0,0,14,14,5,2,0,21,0,0,1,0,1,1,1,1,0,3,37,38,5,0,80,70,128,113,0,311,5,2,3,0,10,3781,3747,3478,70.279,69.647,64.647,85.85,13.145,1.005,85.028,12.784,2.188,0.086,0.489,34.848,0.23,2.099,0,0,0,0.546,0,0,1.668,47.384,0.403,0.604,0.029,0.086,2.3,8.942,0.288,35.274,52.711,11.953,0.062,25.151,41.65,33.199,0,50,31.579,18.421,0,35.091,53.076,11.77,0.063,26.931,42.589,30.48,0,47.561,35.366,17.073,0,33.333,33.333,33.333,0,23.529,23.529,52.941,0,31.848,55.611,12.541,0,37.5,62.5,0,0,47.945,47.945,2.74,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.368,42.105,10.526,0,NA,NA,NA,NA,NA,NA,NA,NA,31.034,43.103,25.862,0,35.133,51.638,13.228,0,42.857,57.143,0,0,66.667,23.81,9.524,0,0,0,100,0,33.333,33.333,33.333,0,46.25,47.5,6.25,0,22.508,41.158,36.334,0,50,20,30,0,0.5,0.5,39.522,40.741,39.768,38.042,45.755,38.793,37.561,44.976,46.953,0.909,0.091,0.038,0,0.007,0.021,0.001,28.199,13.605,1.777,53716.883,0.662,0.008,0.819,0.181,825.74,0.095
"2272","2","HILL","PICKENS","112","PICKENS_00002",2042,519,578,160,2,1259,62,95,84,0,241,19,8,5,0,32,519,577,159,2,1257,61,91,78,0,230,20,12,4,0,36,2,1,0,0,3,0,0,2,0,2,242,306,78,2,628,2,1,0,0,3,6,9,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,5,0,0,0,0,0,0,0,0,0,0,5,8,4,0,17,229,240,84,0,553,2,2,2,0,6,11,4,1,0,16,3,0,0,0,3,0,0,0,0,0,10,7,0,0,17,35,72,62,0,169,0,0,0,0,0,1532,1523,1439,75.024,74.584,70.47,82.18,15.731,2.089,82.534,15.102,2.364,0.208,0.139,43.641,0.208,1.181,0,0,0,0.347,0,0,1.181,38.429,0.417,1.112,0.208,0,1.181,11.744,0,41.223,45.909,12.708,0.159,25.726,39.419,34.855,0,59.375,25,15.625,0,41.289,45.903,12.649,0.159,26.522,39.565,33.913,0,55.556,33.333,11.111,0,66.667,33.333,0,0,0,0,100,0,38.535,48.726,12.42,0.318,66.667,33.333,0,0,35.294,52.941,11.765,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,60,0,0,NA,NA,NA,NA,NA,NA,NA,NA,29.412,47.059,23.529,0,41.41,43.4,15.19,0,33.333,33.333,33.333,0,68.75,25,6.25,0,100,0,0,0,NA,NA,NA,NA,58.824,41.176,0,0,20.71,42.604,36.686,0,NA,NA,NA,NA,0.492,0.508,40.815,38.637,41.753,39.899,48.058,38.591,41.179,47.454,48.679,0.91,0.09,0.002,0.019,0.005,0.013,0.003,37.748,13.572,1.767,62254.259,0.554,0.048,0.82,0.18,1006.823,0.108
